state+city+zip+pop+loc
MA+ANDOVER+1810+29161+[-71.156481, 42.64956]
MA+BILLERICA+1821+28899+[-71.251754, 42.551874]
MA+SOUTH CHELMSFORD+1824+24457+[-71.357521, 42.59356]
MA+DRACUT+1826+25594+[-71.318592, 42.676422]
MA+DUNSTABLE+1827+2166+[-71.495201, 42.673917]
MA+HAVERHILL+1830+22445+[-71.072057, 42.785605]
MA+HAVERHILL+1832+16860+[-71.109519, 42.779154]
MA+GEORGETOWN+1833+6384+[-70.982239, 42.728067]
MA+GROVELAND+1834+5214+[-71.027018, 42.753027]
MA+BRADFORD+1835+12078+[-71.08549, 42.758597]
MA+LAWRENCE+1840+2728+[-71.16381, 42.707958]
MA+LAWRENCE+1841+45555+[-71.166997, 42.711545]
MA+LAWRENCE+1843+22285+[-71.160506, 42.691053]
MA+METHUEN+1844+39664+[-71.181031, 42.728019]
MA+NORTH ANDOVER+1845+22792+[-71.109004, 42.682583]
MA+LOWELL+1850+15434+[-71.305078, 42.656035]
MA+LOWELL+1851+28154+[-71.332882, 42.631548]
MA+LOWELL+1852+33379+[-71.298331, 42.634413]
MA+LOWELL+1854+26472+[-71.335464, 42.649254]
MA+MERRIMAC+1860+5196+[-71.004658, 42.834629]
MA+NORTH BILLERICA+1862+8720+[-71.290217, 42.575694]
MA+NORTH CHELMSFORD+1863+7878+[-71.390834, 42.634737]
MA+NORTH READING+1864+12002+[-71.094711, 42.581898]
MA+READING+1867+22539+[-71.109021, 42.527986]
MA+TEWKSBURY+1876+27269+[-71.223224, 42.60283]
MA+TYNGSBORO+1879+8643+[-71.415766, 42.672382999999996]
MA+WAKEFIELD+1880+24830+[-71.068471, 42.500886]
MA+GRANITEVILLE+1886+16430+[-71.438143, 42.589959]
MA+WILMINGTON+1887+17647+[-71.172306, 42.558143]
MA+WINCHESTER+1890+20232+[-71.14407, 42.453028]
MA+LYNN+1901+1187+[-70.945516, 42.463378]
MA+LYNN+1902+41625+[-70.941989, 42.469814]
MA+EAST LYNN+1904+17073+[-70.962798, 42.487453]
MA+WEST LYNN+1905+21360+[-70.973825, 42.46453]
MA+SAUGUS+1906+25487+[-71.011093, 42.463344]
MA+SWAMPSCOTT+1907+13650+[-70.909774, 42.474611]
MA+NAHANT+1908+3828+[-70.927739, 42.426098]
MA+AMESBURY+1913+14970+[-70.936681, 42.855879]
MA+BEVERLY+1915+38259+[-70.875939, 42.560825]
MA+BOXFORD+1921+6249+[-71.011372, 42.679719]
MA+BYFIELD+1922+2006+[-70.935053, 42.756792]
MA+DANVERS+1923+23977+[-70.942461, 42.569402]
MA+ESSEX+1929+3260+[-70.782794, 42.628629]
MA+GLOUCESTER+1930+28716+[-70.672149, 42.620836]
MA+IPSWICH+1938+11864+[-70.849353, 42.680877]
MA+LYNNFIELD+1940+11274+[-71.033873, 42.532711]
MA+MANCHESTER+1944+5286+[-70.767434, 42.57963]
MA+MARBLEHEAD+1945+19971+[-70.865291, 42.498431]
MA+MIDDLETON+1949+4921+[-71.013004, 42.594184]
MA+NEWBURYPORT+1950+16317+[-70.884668, 42.812964]
MA+NEWBURY+1951+3710+[-70.847377, 42.783475]
MA+SALISBURY+1952+6879+[-70.858822, 42.850678]
MA+PEABODY+1960+47685+[-70.961194, 42.532579]
MA+ROCKPORT+1966+7482+[-70.619424, 42.657973]
MA+ROWLEY+1969+4368+[-70.90696, 42.713753]
MA+SALEM+1970+37642+[-70.900343, 42.515114]
MA+SOUTH HAMILTON+1982+7288+[-70.856132, 42.618478]
MA+TOPSFIELD+1983+5763+[-70.948843, 42.641546]
MA+WENHAM+1984+4148+[-70.878622, 42.60166]
MA+WEST NEWBURY+1985+3421+[-70.977811, 42.794865]
MA+BELLINGHAM+2019+14873+[-71.476829, 42.074573]
MA+CANTON+2021+18530+[-71.135536, 42.164454]
MA+COHASSET+2025+7075+[-70.812788, 42.239484]
